link_id,page,page_reference,category,product_or_option,display_name,model,preferred_current_url,preferred_source,verification_status,clean_pdf_url,original_pdf_url,official_or_manufacturer_url,associated_image_files,notes,verified_date
LINK-11,21,A.20 Product sourcing,Kitchen area rug,Sundara taupe-sage tufted 2.5 × 7 rug,Ruggable Sundara Taupe & Sage rug,Sundara Taupe & Sage,https://ruggable.com/en-CA/products/sundara-taupe-sage-tufted-rug,Ruggable Canada,Verified current,https://ruggable.com/en-CA/products/sundara-taupe-sage-tufted-rug,https://ruggable.com/en-CA/products/sundara-taupe-sage-tufted-rug?size=2.5x7&system=rug-cvr,,images/img_050_p21_xref431.png,Size/system query parameters removed; choose 2.5 × 7 on the product page.,2026-09-25
LINK-12,22,A.21 Product sourcing,Sink pendant,Pendant option,Maxim Dunbridge 14-inch pendant,18411,https://lightscanada.ca/products/maxim-lighting-dunbridge-14-pendant-18411,Lights Canada,Verified current,https://lightscanada.ca/products/maxim-lighting-dunbridge-14-pendant-18411,https://lightscanada.ca/products/maxim-lighting-dunbridge-14-pendant-18411,,images/img_052_p22_xref468.png,Current product page retained.,2026-09-25
LINK-13,22,A.21 Product sourcing,Sink pendant,Pendant option,DVI Schoolhouse pendant,DVP7521,https://lightscanada.ca/products/dvi-schoolhouse-pendant-dvp7521,Lights Canada,Verified current,https://lightscanada.ca/products/dvi-schoolhouse-pendant-dvp7521,https://lightscanada.ca/products/dvi-schoolhouse-pendant-dvp7521?variant=39414159048836,,images/img_052_p22_xref468.png,Variant query removed.,2026-09-25
LINK-14,22,A.21 Product sourcing,Sink pendant,Pendant option,West Elm Roslyn pendant (10–22 inch),H14052,https://www.westelm.ca/products/roslyn-pendant-h14052/,West Elm Canada,Verified current,https://www.westelm.ca/products/roslyn-pendant-h14052/,https://www.westelm.ca/products/roslyn-pendant-h14052/,,images/img_052_p22_xref468.png,Current Canadian product page.,2026-09-25
LINK-15,22,A.21 Product sourcing,Sink pendant,Pendant option,Alora Mood Ellen 20-inch pendant,PD447120,https://lightscanada.ca/products/alora-mood-ellen-20-pendant-pd447120,Lights Canada,Verified current,https://lightscanada.ca/products/alora-mood-ellen-20-pendant-pd447120,https://lightscanada.ca/products/alora-mood-ellen-20-pendant-pd447120,,images/img_052_p22_xref468.png,Current product page retained.,2026-09-25
LINK-16,22,A.21 Product sourcing,Sink pendant,Pendant option,Alora Mood Farrah 12-inch pendant,PD651012,https://lightscanada.ca/products/alora-mood-farrah-12-pendant-pd651012,Lights Canada,Verified current,https://lightscanada.ca/products/alora-mood-farrah-12-pendant-pd651012,https://lightscanada.ca/products/alora-mood-farrah-12-pendant-pd651012?variant=51506360025220,,images/img_052_p22_xref468.png,Variant query removed.,2026-09-25
LINK-17,22,A.21 Product sourcing,Sink pendant,Pendant option,Alora Mood Farrah 12-inch pendant — alternate retailer,PD651012,https://www.lighthouseco.ca/products/farrah-12-in-pendant,Light House Co.,Verified current,https://www.lighthouseco.ca/products/farrah-12-in-pendant,https://www.lighthouseco.ca/products/farrah-12-in-pendant,,images/img_052_p22_xref468.png,Retained as a valid alternate Canadian retailer.,2026-09-25
LINK-18,22,A.21 Product sourcing,Sink pendant,Pendant option,Maxim Kismet 1-light pendant,18311,https://lightscanada.ca/products/maxim-lighting-kismet-1-light-pendant-18311,Lights Canada,Verified current,https://lightscanada.ca/products/maxim-lighting-kismet-1-light-pendant-18311,https://lightscanada.ca/products/maxim-lighting-kismet-1-light-pendant-18311,,images/img_052_p22_xref468.png,Current product page retained.,2026-09-25
LINK-19,22,A.21 Product sourcing,Floor tile,Valdorcia terracotta tile,Centura Valdorcia — Terracotta tile,Valdorcia / Terracotta,https://www.centura.ca/en/products/tile/ceramic-tiles/valdorcia?color=terracotta,Centura,Canonicalized; automated live check inconclusive,https://www.centura.ca/en/products/tile/ceramic-tiles/valdorcia?color=terracotta,https://www.centura.ca/en/products/tile/ceramic-tiles/valdorcia?color=terracotta,,images/img_053_p22_xref469.png,No ad tracking was present; colour selector retained.,2026-09-25
LINK-20,22,A.21 Product sourcing,Backsplash tile,Portuguese / Delft backsplash tile option,Portuguese hand-painted backsplash tile — Etsy listing 1321794637,Etsy 1321794637,https://www.etsy.com/ca/listing/1321794637/portuguese-tiles-backsplash-hand-painted,Etsy Canada,Canonicalized; marketplace crawler blocked,https://www.etsy.com/ca/listing/1321794637/portuguese-tiles-backsplash-hand-painted,https://www.etsy.com/ca/listing/1321794637/portuguese-tiles-backsplash-hand-painted?gpla=1&gao=1&&utm_medium=cpc&utm_custom2=23636859561&utm_source=google&utm_custom1=_k_Cj0KCQjwg5zTBhCLARIsAP2AFU5UFwCNXtFQcqlDOHDdPS4ZeZqvzF9wBS0vrykYuxSK-BdtioOodnsaAjFqEALw_wcB_k_&utm_content=go_23636859561_197937409630_799746957307_aud-2466447639751:pla-305809824159_c__1321794637enca_102855400&utm_campaign=shopping_ca_en_ca_-home_and_living_a&gad_source=1&gad_campaignid=23636859561&gbraid=0AAAAADutTMfbS8QhRT6jaj61Fz02i1NfC&gclid=Cj0KCQjwg5zTBhCLARIsAP2AFU5UFwCNXtFQcqlDOHDdPS4ZeZqvzF9wBS0vrykYuxSK-BdtioOodnsaAjFqEALw_wcB,,images/img_054_p22_xref470.png,Removed Google/UTM tracking parameters.,2026-09-25
LINK-21,22,A.21 Product sourcing,Backsplash tile,Portuguese / Delft backsplash tile option,Portuguese hand-painted backsplash tile — Etsy listing 1195586669,Etsy 1195586669,https://www.etsy.com/ca/listing/1195586669/portuguese-tiles-backsplash-hand-painted,Etsy Canada,Canonicalized; marketplace crawler blocked,https://www.etsy.com/ca/listing/1195586669/portuguese-tiles-backsplash-hand-painted,https://www.etsy.com/ca/listing/1195586669/portuguese-tiles-backsplash-hand-painted?ls=r&external=1&rec_type=cs&ref=pla_similar_listing_top-6&content_source=eac852ff3a1ae62a25ca55ce35f2c6fb%253ALTf013f49d14c9b53fd922b61e968a11e8bfbbc08e&logging_key=eac852ff3a1ae62a25ca55ce35f2c6fb%3ALTf013f49d14c9b53fd922b61e968a11e8bfbbc08e,,images/img_054_p22_xref470.png,Removed recommendation/logging parameters.,2026-09-25
LINK-22,22,A.21 Product sourcing,Backsplash tile,Portuguese / Delft backsplash tile option,Delft-style hand-painted ceramic corner tiles — Etsy listing 4298619663,Etsy 4298619663,https://www.etsy.com/ca/listing/4298619663/delft-style-ceramic-corner-tiles-hand,Etsy Canada,Canonicalized; marketplace crawler blocked,https://www.etsy.com/ca/listing/4298619663/delft-style-ceramic-corner-tiles-hand,https://www.etsy.com/ca/listing/4298619663/delft-style-ceramic-corner-tiles-hand?gpla=1&gao=1&&utm_source=google&utm_medium=cpc&utm_campaign=shopping_ca_en_ca_d-home_and_living&utm_custom1=_k_CjwKCAjw4dDTBhAqEiwAkHYmSgZVWT8QSlHKUhacLyjIP6kgHB6qsH6hrz_iQa7iKLKGWJ3hqvgbkBoCaXYQAvD_BwE_k_&utm_content=go_21637415708_170381789190_711062608527_aud-2466447643351:pla-303628061699_c__4298619663enca_496198677&utm_custom2=21637415708&gad_source=1&gad_campaignid=21637415708&gbraid=0AAAAADutTMe8R2k_QTVr_2dg4YMESWar_&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSgZVWT8QSlHKUhacLyjIP6kgHB6qsH6hrz_iQa7iKLKGWJ3hqvgbkBoCaXYQAvD_BwE,,images/img_054_p22_xref470.png,Removed Google/UTM tracking parameters.,2026-09-25
LINK-23,23,A.22 Product sourcing,Induction range,Cafe induction range alternative,Café 30-inch induction range with warming drawer — Matte White,CCHS900P4MW2,https://cafeappliances.ca/en_CA/c/Caf%C3%A9%E2%84%A2-30%27%27-Induction-Range-with-Warming-Drawer-and-No-Preheat-Air-Fry-Matte-White---CCHS900P4MW2/p/CCHS900P4MW2,Café Appliances Canada,Verified current,https://www.canadianappliance.ca/product/Cafe_CCHS900P4MW2_Induction_Range_Cafe_CCHS900P4MW2.html,https://www.canadianappliance.ca/product/Cafe_CCHS900P4MW2_Induction_Range_Cafe_CCHS900P4MW2.html?feed=669a86&cq_cmp=23323179779&cq_term=&cq_med=pla&cq_plac=&cq_net=x&cq_plt=gp&device=c&adgrp=&gclid=Cj0KCQjw4a3OBhCHARIsAChaqJPLQXFjWkn0qspg5SGa6xyLGLCzxDOPywCh41O1XlUn-gX9C4N--CgaAk8fEALw_wcB&locph=9000677&gad_source=1&gad_campaignid=23327292199&gbraid=0AAAAAD8J6_of5d2bXt01Ctb81gCwcAFYH,https://cafeappliances.ca/en_CA/c/Caf%C3%A9%E2%84%A2-30%27%27-Induction-Range-with-Warming-Drawer-and-No-Preheat-Air-Fry-Matte-White---CCHS900P4MW2/p/CCHS900P4MW2,images/img_056_p23_xref496.png,Manufacturer-direct link replaces the retail ad-tracking URL.,2026-09-25
LINK-24,23,A.22 Product sourcing,Induction range,Cafe induction range alternative,Café 30-inch induction range with double oven — Matte White,CCHS950P4MW2,https://cafeappliances.ca/en_CA/c/Caf%C3%A9%E2%84%A2-30%22-Induction-Range-with-Double-Oven-and-No-Preheat-Air-Fry-Matte-White---CCHS950P4MW2/p/CCHS950P4MW2,Café Appliances Canada,Verified current,https://www.canadianappliance.ca/product/Cafe_CCHS950P4MW2_Induction_Range_Cafe_CCHS950P4MW2.html,https://www.canadianappliance.ca/product/Cafe_CCHS950P4MW2_Induction_Range_Cafe_CCHS950P4MW2.html,https://cafeappliances.ca/en_CA/c/Caf%C3%A9%E2%84%A2-30%22-Induction-Range-with-Double-Oven-and-No-Preheat-Air-Fry-Matte-White---CCHS950P4MW2/p/CCHS950P4MW2,images/img_056_p23_xref496.png,Manufacturer-direct link is more stable than the retailer link.,2026-09-25
LINK-25,23,A.22 Product sourcing,Range hood insert,TruArctic TAIN28SS cabinet insert hood,TruArctic cabinet insert hood,TAIN28SS,https://www.canadianappliance.ca/product/TruArctic_TAIN28SS_Cabinet_Inserts_TruArctic_TAIN28SS.html,Canadian Appliance Source,Verified current,https://www.canadianappliance.ca/product/TruArctic_TAIN28SS_Cabinet_Inserts_TruArctic_TAIN28SS.html,https://www.canadianappliance.ca/product/TruArctic_TAIN28SS_Cabinet_Inserts_TruArctic_TAIN28SS.html#tab-manuals,,images/img_057_p23_xref497.png,Fragment removed; product page is current.,2026-09-25
LINK-26,23,A.22 Product sourcing,Refrigerator / freezer,Cafe counter-depth refrigerator / freezer alternative,Café 23.2 cu. ft. counter-depth 4-door refrigerator — Matte White,CJE23DP4WW2,https://cafeappliances.ca/en_CA/c/Caf%C3%A9%E2%84%A2ENERGYSTAR%C2%AE23-2-Cu-Ft-Door-French-Door-Refrigerator-With-Dual-Dispense-AutoFill-Pitcher-Matte-White---CJE23DP4WW2/p/CJE23DP4WW2,Café Appliances Canada,Verified current,https://www.canadianappliance.ca/product/Cafe_CJE23DP4WW2_French_Door_Refrigerator_Cafe_CJE23DP4WW2.html,https://www.canadianappliance.ca/product/Cafe_CJE23DP4WW2_French_Door_Refrigerator_Cafe_CJE23DP4WW2.html,https://cafeappliances.ca/en_CA/c/Caf%C3%A9%E2%84%A2ENERGYSTAR%C2%AE23-2-Cu-Ft-Door-French-Door-Refrigerator-With-Dual-Dispense-AutoFill-Pitcher-Matte-White---CJE23DP4WW2/p/CJE23DP4WW2,images/img_055_p23_xref495.png,Manufacturer-direct link replaces retailer link.,2026-09-25
LINK-27,23,A.22 Product sourcing,Refrigerator / freezer,Cafe counter-depth refrigerator / freezer alternative,Café 23.1 cu. ft. counter-depth French-door refrigerator — Matte White,CWE23SP4MW2,https://cafeappliances.ca/en_CA/c/CAF%C3%89%E2%84%A2-Energy-Star%C2%AE-23-1-Cu-Ft-Counter-Depth-French-Door-Refrigerator-Matte-White---CWE23SP4MW2/p/CWE23SP4MW2,Café Appliances Canada,Verified current,https://www.canadianappliance.ca/product/Cafe_CWE23SP4MW2_French_Door_Refrigerator_Cafe_CWE23SP4MW2.html,https://www.canadianappliance.ca/product/Cafe_CWE23SP4MW2_French_Door_Refrigerator_Cafe_CWE23SP4MW2.html,https://cafeappliances.ca/en_CA/c/CAF%C3%89%E2%84%A2-Energy-Star%C2%AE-23-1-Cu-Ft-Counter-Depth-French-Door-Refrigerator-Matte-White---CWE23SP4MW2/p/CWE23SP4MW2,images/img_055_p23_xref495.png,Manufacturer-direct link replaces retailer link.,2026-09-25
